#Phase-2 Materials Map           
#i cr sl tb dcc spigot fiber fibcha subdet ieta iphi depth  
1192 61 1 u 0 0 12 3 HE 1 12 3 
1192 61 1 u 0 0 12 4 HE 1 12 4 
1192 61 1 u 0 0 12 5 HE 1 12 5 
1192 61 1 u 0 0 13 0 HE 1 13 0 
1192 61 1 u 0 0 13 1 HE 1 13 1 
1192 61 1 u 0 0 13 2 HE 1 13 2 
1192 61 1 u 0 0 13 3 HE 1 13 3 
1192 61 1 u 0 0 13 4 HE 1 13 4 
1192 61 1 u 0 0 13 5 HE 1 13 5 
1192 61 1 u 0 0 14 0 HE 1 14 0 
1192 61 1 u 0 0 14 1 HE 1 14 1 
1192 61 1 u 0 0 14 2 HE 1 14 2 
1192 61 1 u 0 0 14 3 HE 1 14 3 
1192 61 1 u 0 0 14 4 HE 1 14 4 
1192 61 1 u 0 0 14 5 HE 1 14 5 
1192 61 1 u 0 0 15 0 HE 1 15 0 
1192 61 1 u 0 0 15 1 HE 1 15 1 
1192 61 1 u 0 0 15 2 HE 1 15 2 
1192 61 1 u 0 0 15 3 HE 1 15 3 
1192 61 1 u 0 0 15 4 HE 1 15 4 
1192 61 1 u 0 0 15 5 HE 1 15 5 
1192 61 1 u 0 0 16 0 HE 1 16 0 
1192 61 1 u 0 0 16 1 HE 1 16 1 
1192 61 1 u 0 0 16 2 HE 1 16 2 
1192 61 1 u 0 0 16 3 HE 1 16 3 
1192 61 1 u 0 0 16 4 HE 1 16 4 
1192 61 1 u 0 0 16 5 HE 1 16 5 
1192 61 1 u 0 0 17 0 HE 1 17 0 
1192 61 1 u 0 0 17 1 HE 1 17 1 
1192 61 1 u 0 0 17 2 HE 1 17 2 
1192 61 1 u 0 0 17 3 HE 1 17 3 
1192 61 1 u 0 0 17 4 HE 1 17 4 
1192 61 1 u 0 0 17 5 HE 1 17 5 
1192 61 1 u 0 0 18 0 HE 1 18 0 
1192 61 1 u 0 0 18 1 HE 1 18 1 
